rutaImagen,etiqueta,estado,m00,m10,m01,m20,m02,m11,m30,m03,m21,m12,mu20,mu02,mu11,mu30,mu03,mu21,mu12,nu20,nu02,nu11,nu30,nu03,nu21,nu12
C:\Users\joker\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\1.jpg,jeans,exito,4392375.0,506395830.0,430797000.0,62053427370.0,58864581480.0,49169704860.0,7992844155930.0,9306500319930.0,5983033155090.0,6675456157200.0,3671177074.5700984,16612711999.59361,-496774977.5616864,-7778373085.319346,274462278911.77573,11479998416.734375,-13581153173.076172,0.00019028585703711944,0.0008610764548652796,-2.5749031016432468e-05,-1.9237128343905952e-07,6.787879710927974e-06,2.8391824422431836e-07,-3.3588307449768664e-07
C:\Users\joker\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\10.jpg,jeans,exito,4256970.0,502170480.0,432869895.0,63645290370.0,62557174005.0,50477316045.0,8494022884320.0,10296566866215.0,6392276425185.0,7323374894415.0,4407101944.093688,18540808844.495922,-585877482.2505081,-53610529162.171295,164798660541.68585,58731813233.17578,63011619812.38672,0.0002431934744438698,0.0010231221739573039,-3.2329994248914246e-05,-1.4338331597743182e-06,4.407600295387394e-06,1.5708037705179193e-06,1.6852687587692012e-06
C:\Users\joker\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\100.jpg,jeans,exito,3511860.0,426636930.0,368561190.0,54737783370.0,48526778460.0,45653463450.0,7350722589990.0,7200079522860.0,5968070919420.0,6025817351400.0,2907963832.824572,9847175407.994484,878952330.8931171,-5621164133.590443,40437455948.9241,9914949379.457031,-53927062961.33789,0.00023578415242333232,0.000798430806163994,7.126740299202622e-05,-2.432110374986383e-07,1.7496083340411992e-06,4.289903422165258e-07,-2.333263470053476e-06
C:\Users\joker\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\101.jpg,jeans,exito,3393795.0,405529050.0,329956995.0,51202838220.0,41878774695.0,39862970625.0,6772011852630.0,6159229241565.0,5071611541305.0,5045948061315.0,2745636063.1512494,9799165128.296642,435973200.8171148,-2442323102.8370814,182203283565.9636,-10703162573.105469,-42975851800.46094,0.00023838106710578772,0.0008507811619243349,3.7851978357622775e-05,-1.151036522077427e-07,8.58701428910996e-06,-5.044267488222834e-07,-2.0253984795154778e-06
C:\Users\joker\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\102.jpg,jeans,exito,6278610.0,787263030.0,980793495.0,126085494600.0,168028040205.0,116908163175.0,22147604381070.0,30141532593765.0,18230813211465.0,19595042433045.0,27372072615.710342,14816440848.722906,-6071677693.916819,-526282063141.8452,-735452346790.6079,57392954346.80469,423260767216.14844,0.0006943535634407531,0.0003758520096470562,-0.00015402162276944805,-5.327945822420429e-06,-7.445532601433552e-06,5.810316800897846e-07,4.284984411250852e-06
C:\Users\joker\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\103.jpg,jeans,exito,4021605.0,449348505.0,371009955.0,53597948415.0,49345526085.0,41554419795.0,6745807750965.0,7652870229765.0,4972899468465.0,5541887322555.0,3390611059.457867,15118299216.846111,100132608.82252339,-575847761.1518449,311084938448.6228,5887216964.970703,9857507563.273438,0.00020964241304592354,0.0009347685928555555,6.191226705163229e-06,-1.7754528861460202e-08,9.591365792590527e-06,1.8151457827876913e-07,3.0392651381351956e-07
C:\Users\joker\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\104.jpg,jeans,exito,4021605.0,449348505.0,371009955.0,53597948415.0,49345526085.0,41554419795.0,6745807750965.0,7652870229765.0,4972899468465.0,5541887322555.0,3390611059.457867,15118299216.846111,100132608.82252339,-575847761.1518449,311084938448.6228,5887216964.970703,9857507563.273438,0.00020964241304592354,0.0009347685928555555,6.191226705163229e-06,-1.7754528861460202e-08,9.591365792590527e-06,1.8151457827876913e-07,3.0392651381351956e-07
C:\Users\joker\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\105.jpg,jeans,exito,3673785.0,515606175.0,413745405.0,75240670515.0,56011606035.0,57881714835.0,11352337780185.0,8324674353645.0,8457727092885.0,7746586981635.0,2876684136.3385806,9415177512.750048,-186377254.1875514,-14965025263.837494,-104103457242.36617,36361343821.58203,-72516335047.9375,0.00021313987424188946,0.0006975912738152702,-1.3809101950846883e-05,-5.784863460903181e-07,-4.0242116223506585e-06,1.4055800478406176e-06,-2.8031833527947844e-06
C:\Users\joker\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\106.jpg,jeans,exito,3133440.0,358806930.0,316291290.0,43231439280.0,42777376590.0,37729401690.0,5476005749760.0,6548296462350.0,4739964257130.0,5195497791210.0,2144833818.9013705,10850746391.284184,1511217601.381839,34413607137.654335,39761187511.12084,30061276809.51172,-7981163847.4765625,0.0002184494132647455,0.001105138851211663,0.00015391616610480136,1.980052651541901e-06,2.287735907629002e-06,1.729633008749047e-06,-4.592115140785409e-07
C:\Users\joker\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\107.jpg,jeans,exito,4824600.0,647831070.0,391897515.0,94294224360.0,44107608825.0,53651008305.0,14598885941010.0,5858869344825.0,7882521691605.0,6044097045525.0,7305645978.922832,12274158950.777224,1028327362.9962994,-24580701839.648357,282015911554.1029,-53066136877.52734,-45584440312.31445,0.00031386002001159645,0.000527313776910452,4.4178276316652044e-05,-4.807740270549248e-07,5.515950129330042e-06,-1.03792074340631e-06,-8.915862160065075e-07
C:\Users\joker\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\108.jpg,jeans,exito,8319120.0,1203686445.0,861674070.0,193075958865.0,124698916290.0,125851775370.0,33285688971825.0,20652730002750.0,20344375679040.0,18040657462620.0,18915583984.395058,35448826988.443474,1176882104.0077727,-124068144760.52553,393316413342.7692,5476688969.9453125,-245720523201.07812,0.00027331594964712374,0.0005122088654633136,1.7005060491124802e-05,-6.215367548478896e-07,1.970373681732166e-06,2.743624075512147e-08,-1.2309713898334652e-06
C:\Users\joker\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\109.jpg,jeans,exito,4397985.0,491477565.0,417683115.0,59349930375.0,57138034365.0,46474725120.0,7615913752965.0,9099141612165.0,5609165886840.0,6342319821180.0,4427006149.853887,17470053561.04018,-201623321.80118403,-5919352233.167662,354344856438.35345,17678622656.28711,-4594205216.949219,0.00022887725578824215,0.0009032058646804578,-1.0423973004484699e-05,-1.459284011157216e-07,8.735580568071291e-06,4.358269345258403e-07,-1.1325986278538073e-07
C:\Users\joker\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\11.jpg,jeans,exito,4377330.0,476049810.0,449619060.0,56304048450.0,65457371880.0,49369303305.0,7092323113080.0,10873505241120.0,5957278266525.0,7273087343505.0,4531981550.534776,19274584857.937782,471672081.08528286,-16674718695.183878,190435089637.59537,71395285929.66797,57475323843.478516,0.00023652091800923172,0.0010059269778599023,2.461623295983006e-05,-4.1594441232196e-07,4.75032969927508e-06,1.7809278100236384e-06,1.4336997364756073e-06
C:\Users\joker\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\110.jpg,jeans,exito,4397985.0,491477565.0,417683115.0,59349930375.0,57138034365.0,46474725120.0,7615913752965.0,9099141612165.0,5609165886840.0,6342319821180.0,4427006149.853887,17470053561.04018,-201623321.80118403,-5919352233.167662,354344856438.35345,17678622656.28711,-4594205216.949219,0.00022887725578824215,0.0009032058646804578,-1.0423973004484699e-05,-1.459284011157216e-07,8.735580568071291e-06,4.358269345258403e-07,-1.1325986278538073e-07
C:\Users\joker\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\111.jpg,jeans,exito,5273910.0,778647855.0,604736070.0,122629306965.0,83486239590.0,90839479260.0,20393033908215.0,12710706804690.0,14557700778810.0,12531661008300.0,7668588618.251376,14143813504.03249,1555353488.6785595,23458586415.518555,-105911001684.79439,37067989041.046875,-151061694813.64844,0.00027570840904856834,0.0005085118674635138,5.591955146102078e-05,3.672569752078104e-07,-1.6580945429114034e-06,5.803196020048939e-07,-2.3649532893561414e-06
C:\Users\joker\.cache\kagglehub\datasets\sunnykusawa\ecommerce-products-image-dataset\versions\1\ecommerce products\jeans\112.jpg,jeans,exito,7193295.0,928965765.0,801432105.0,158514253875.0,117888880425.0,103142470635.0,28955232546015.0,19374641995335.0,17771919394995.0,15137924766495.0,38544560912.03446,28598309285.524834,-357106195.49079883,-1471361962185.7556,-132293284725.03616,203484721401.75,-7059729355.953125,0.0007449160988039062,0.0005526938297203255,-6.901470602059848e-06,-1.0602294080301577e-05,-9.532748198956266e-07,1.4662638511768341e-06,-5.087077733609613e-08
