rutaImagen,etiqueta,estado,crudo_m00,crudo_m10,crudo_m01,crudo_m20,crudo_m02,crudo_m11,crudo_m30,crudo_m03,crudo_m21,crudo_m12,central_mu20,central_mu02,central_mu11,central_mu30,central_mu03,central_mu21,central_mu12,normalizado_nu20,normalizado_nu02,normalizado_nu11,normalizado_nu30,normalizado_nu03,normalizado_nu21,normalizado_nu12,hu_0,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,zernike_0,zernike_1,zernike_2,zernike_3,zernike_4,zernike_5,zernike_6,zernike_7,zernike_8,zernike_9,zernike_10,zernike_11,zernike_12,zernike_13,zernike_14,zernike_15,zernike_16,zernike_17,zernike_18,zernike_19,zernike_20,zernike_21,zernike_22,zernike_23,zernike_24,momentos_tamano,sift_tamano,hog_tamano
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000000.jpg,pliers,exito,2456670.0,274437120.0,253913445.0,39281429100.0,36280718385.0,29640987075.0,6325948812000.0,5981076678555.0,4375016007345.0,4861993882635.0,8623777549.773718,10037048070.400146,1276056264.1550763,11038131994.421553,156425789920.3875,29915770239.648438,545259624797.625,0.0014289067919369374,0.001663077007264482,0.00021143465867724142,1.166886262561428e-06,1.6536412634009774e-05,3.162518924781086e-06,5.764163411230251e-05,2.5097627762369545,6.63124067134367,7.527967942722455,8.403788996259763,-9.999999893332461,9.998868991369452,9.999999857376027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,57,756
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000001.jpg,pliers,exito,2164695.0,251114820.0,238681530.0,34797942600.0,30898002690.0,31135939110.0,5272374339510.0,4389990938190.0,4588252875150.0,4311801394890.0,5667440231.937799,4580728079.423959,3447756967.354221,-79250512848.8641,-27006804686.0448,-48516702615.91211,-32819071240.976562,0.0012094656006854392,0.000977554735722877,0.0007357719324571866,-1.1495034956003867e-05,-3.917251166665524e-06,-7.037193482691102e-06,-4.760301953604505e-06,2.660147158719156,5.653779291164312,9.394257607757284,9.31494307396815,9.999999999430882,9.997585445011364,-9.999999999972916,0.31830988618379075,0.2400330062155688,0.028610642057482826,0.0889606428013994,0.23815577959050455,0.0623599459977874,0.47045224971305827,0.026746593244005773,0.11608874650230602,0.1815030469322388,0.12464702696961091,0.0759930653281566,0.16119648381846893,0.11006113142361126,0.08033385148097168,0.10259935789622396,0.05711292790473423,0.12105954861405233,0.008537683200535617,0.11547580187852871,0.04553087293509524,0.2629406246739883,0.1314746056044116,0.17129451916844546,0.061755490185829355,56,57,756
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000002.jpg,pliers,exito,2222835.0,247638915.0,253559250.0,33299676585.0,31928822850.0,25360854405.0,4987004175855.0,4268338419690.0,3209624875845.0,2888659893315.0,5711019657.078123,3005266553.395665,-2887368048.8545375,4701304879.28592,-59411792038.28444,54468672848.75781,-9702465527.72461,0.0011558439447346646,0.0006082309914221467,-0.0005843697055660839,6.381905219689027e-07,-8.065003981996526e-06,7.393987764856901e-06,-1.317085723754286e-06,2.753482945793902,5.77834279274392,8.984664534086578,9.996060795191973,-9.999999999999929,-9.999995400787684,9.999999999999908,0.3183098861837906,0.036414519950203124,0.011074277864278333,0.00791182157014985,0.08039030960030091,0.08368185119320082,0.020576029516398,0.035948736450730524,0.06923536704657096,0.1292520591164967,0.12648684819511524,0.08852148911919572,0.019973322372326432,0.15652348783582162,0.1201455770316545,0.0698612381656413,0.16376376912098764,0.1415887955463529,0.10514101133699057,0.06623115780994068,0.018241578217347718,0.31511823830799146,0.16048197882705922,0.19107418664941933,0.05540954265018287,56,57,756
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000003.jpg,pliers,exito,3870900.0,463942410.0,510888675.0,73545092640.0,77706569475.0,60709001070.0,12814588229370.0,12812362550355.0,9392548452210.0,9211133032110.0,17939791599.774708,10278519604.619572,-522992296.1956465,-300384470123.4842,-156653658126.08405,-188706118816.10547,35749676149.69922,0.0011972738297301182,0.0006859724352167791,-3.490369360775482e-05,-1.018937617337922e-05,-5.3138667619082845e-06,-6.401121968939525e-06,1.2126688780416082e-06,2.725092862172307,6.574462213637293,9.315051728318807,9.497815722842265,-9.99999999989534,-9.999810461621314,-9.999999999747173,0.3183098861837907,0.38339621320664136,0.15553864081606636,0.18103603781273278,0.12015275448981547,0.16128887125568028,0.03195271713476863,0.27034146752807886,0.38017967088981397,0.09722237621985222,0.29530342603666837,0.3661550598465591,0.20748161298802362,0.04238336703393603,0.3761995467533243,0.12775040366138876,0.15631451620129533,0.17098316108858627,0.3843981003230389,0.21968392876642734,0.31287230411967537,0.055994480695029394,0.26247538523278496,0.10979667452568696,0.4801242447606948,56,57,756
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000004.jpg,pliers,exito,1941825.0,194689185.0,223263720.0,22642005135.0,29237178510.0,24170788020.0,2957155866105.0,4173886501290.0,2944757043180.0,3280670207310.0,3122285924.481945,3567157437.9474735,1786159288.333554,60960724705.70429,-7970728527.466428,-16699363525.486328,-61408296295.225586,0.0008280422466349546,0.0009460238845706314,0.000473696319213625,1.1601787350889281e-05,-1.5169553487719478e-06,-3.1781522521788526e-06,-1.1686967283230861e-05,2.7510301706879514,6.040208795306725,8.630471175043812,9.913457622444685,-9.999999999997542,9.999985417874486,-9.99999999997885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,57,756
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000005.jpg,pliers,exito,1106190.0,109964670.0,124618245.0,13561920000.0,14170455825.0,12406273260.0,1912346139120.0,1626078054165.0,1532425860900.0,1414594172130.0,2630498952.793914,131541183.8623786,18162548.997233044,41188421255.02515,62452217.92836096,991707052.9404297,1838435315.1430664,0.0021497040616582272,0.00010749847169638502,1.4842851508436752e-05,3.200374678270847e-05,4.852589411530165e-08,7.705646499150383e-07,1.4284795704581472e-06,2.646429451734129,5.3796989119235,9.058773619696748,8.914215574656327,9.999999995482826,9.990197149700235,9.99999999996394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,57,756
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000006.jpg,pliers,exito,1644495.0,186358590.0,189839850.0,24351780390.0,24699406590.0,18993355485.0,3478829804100.0,3517105768710.0,2229763053435.0,2221761756255.0,3233124470.226393,2784369664.972864,-2519806167.5507817,-13552047229.328915,22963018977.949078,-10294403446.539062,4529514019.373047,0.0011955212772108911,0.0010295839856306332,-0.00093175561766827,-3.9077206788697755e-06,6.621365952386384e-06,-2.968382012247534e-06,1.3060813100199845e-06,2.652649419551688,5.455893577009644,9.395430216159674,9.920410639929822,-9.999999999995344,9.999850934402538,-9.999999999995028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,57,756
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000007.jpg,pliers,exito,2976870.0,320130315.0,319294170.0,42269606055.0,43365947190.0,33998548710.0,6206251695975.0,6695727142500.0,4444390644090.0,4236279061320.0,7843037685.538379,9118980746.726059,-338101267.91759205,-26257802582.075314,88193426940.15497,-16659334833.326172,-354733245826.99414,0.0008850433901955102,0.001029026502077302,-3.81528566334621e-05,-1.7173495683297312e-06,5.7681499893897095e-06,-1.0895771416989586e-06,-2.3200760409748038e-05,2.7180421853146197,7.574242521103816,8.319661841630706,9.12912737481139,-9.99999999558295,-9.999702794153587,-9.999999998003851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,57,756
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000008.jpg,pliers,exito,6118980.0,703824990.0,640805565.0,104597340750.0,85344884355.0,71852601540.0,17347338611340.0,12956346368985.0,10603200560850.0,9495642675570.0,23641100241.206028,18237004915.13106,-1854939647.9217422,-122340418352.36786,198954562497.29837,76045335877.3711,67510686340.70703,0.000631407326735515,0.0004870745609823583,-4.9541792573112316e-05,-1.320907411631407e-06,2.1481090200594278e-06,8.21060195258643e-07,7.289117296862435e-07,2.9513710054857443,7.512161883520713,9.949222766994263,9.961910912935497,-9.999999999999734,-9.99999620634748,-9.99999999999967,0.31830988618379047,0.047471031826189475,0.03726538876057744,0.043908529902819786,0.09527281195946555,0.058837114892447966,0.03174806551668677,0.03685789637981127,0.045250219672477596,0.1255216931062664,0.10556626446810803,0.07362575542538315,0.023926847839478425,0.047995371344976924,0.10461166724025744,0.07292510012339092,0.10190945080292987,0.13463946399609245,0.08497683079511337,0.09637981630638483,0.11753718162334356,0.1718582161140861,0.17305000201704568,0.19764309342410213,0.07083757360879886,56,57,756
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000009.jpg,pliers,exito,2796330.0,325213740.0,287688450.0,46570420500.0,39144419130.0,34188595365.0,7436315772180.0,6195252094770.0,4913392974465.0,5145259193925.0,8747997293.587454,9546823616.093382,730370913.9148296,-14621155468.946224,203677766012.43332,-47690088870.208984,442473221706.65234,0.001118746774107204,0.001220905513002851,9.340424744334397e-05,-1.1181772192961297e-06,1.5576596426728556e-05,-3.6471789848712204e-06,3.383887666824755e-05,2.6308486629207413,7.342620730694509,7.945497446009362,8.881750101390471,-9.99999998639431,9.999778566742819,9.999999986103358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,57,756
