rutaImagen,etiqueta,estado,m00,m10,m01,m20,m02,m11,m30,m03,m21,m12,mu20,mu02,mu11,mu30,mu03,mu21,mu12,nu20,nu02,nu11,nu30,nu03,nu21,nu12
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000000.jpg,pliers,exito,2456670.0,274437120.0,253913445.0,39281429100.0,36280718385.0,29640987075.0,6325948812000.0,5981076678555.0,4375016007345.0,4861993882635.0,8623777549.773718,10037048070.400146,1276056264.1550763,11038131994.421553,156425789920.3875,29915770239.648438,545259624797.625,0.0014289067919369374,0.001663077007264482,0.00021143465867724142,1.166886262561428e-06,1.6536412634009774e-05,3.162518924781086e-06,5.764163411230251e-05
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000001.jpg,pliers,exito,2164695.0,251114820.0,238681530.0,34797942600.0,30898002690.0,31135939110.0,5272374339510.0,4389990938190.0,4588252875150.0,4311801394890.0,5667440231.937799,4580728079.423959,3447756967.354221,-79250512848.8641,-27006804686.0448,-48516702615.91211,-32819071240.976562,0.0012094656006854392,0.000977554735722877,0.0007357719324571866,-1.1495034956003867e-05,-3.917251166665524e-06,-7.037193482691102e-06,-4.760301953604505e-06
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000002.jpg,pliers,exito,2222835.0,247638915.0,253559250.0,33299676585.0,31928822850.0,25360854405.0,4987004175855.0,4268338419690.0,3209624875845.0,2888659893315.0,5711019657.078123,3005266553.395665,-2887368048.8545375,4701304879.28592,-59411792038.28444,54468672848.75781,-9702465527.72461,0.0011558439447346646,0.0006082309914221467,-0.0005843697055660839,6.381905219689027e-07,-8.065003981996526e-06,7.393987764856901e-06,-1.317085723754286e-06
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000003.jpg,pliers,exito,3870900.0,463942410.0,510888675.0,73545092640.0,77706569475.0,60709001070.0,12814588229370.0,12812362550355.0,9392548452210.0,9211133032110.0,17939791599.774708,10278519604.619572,-522992296.1956465,-300384470123.4842,-156653658126.08405,-188706118816.10547,35749676149.69922,0.0011972738297301182,0.0006859724352167791,-3.490369360775482e-05,-1.018937617337922e-05,-5.3138667619082845e-06,-6.401121968939525e-06,1.2126688780416082e-06
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000004.jpg,pliers,exito,1941825.0,194689185.0,223263720.0,22642005135.0,29237178510.0,24170788020.0,2957155866105.0,4173886501290.0,2944757043180.0,3280670207310.0,3122285924.481945,3567157437.9474735,1786159288.333554,60960724705.70429,-7970728527.466428,-16699363525.486328,-61408296295.225586,0.0008280422466349546,0.0009460238845706314,0.000473696319213625,1.1601787350889281e-05,-1.5169553487719478e-06,-3.1781522521788526e-06,-1.1686967283230861e-05
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000005.jpg,pliers,exito,1106190.0,109964670.0,124618245.0,13561920000.0,14170455825.0,12406273260.0,1912346139120.0,1626078054165.0,1532425860900.0,1414594172130.0,2630498952.793914,131541183.8623786,18162548.997233044,41188421255.02515,62452217.92836096,991707052.9404297,1838435315.1430664,0.0021497040616582272,0.00010749847169638502,1.4842851508436752e-05,3.200374678270847e-05,4.852589411530165e-08,7.705646499150383e-07,1.4284795704581472e-06
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000006.jpg,pliers,exito,1644495.0,186358590.0,189839850.0,24351780390.0,24699406590.0,18993355485.0,3478829804100.0,3517105768710.0,2229763053435.0,2221761756255.0,3233124470.226393,2784369664.972864,-2519806167.5507817,-13552047229.328915,22963018977.949078,-10294403446.539062,4529514019.373047,0.0011955212772108911,0.0010295839856306332,-0.00093175561766827,-3.9077206788697755e-06,6.621365952386384e-06,-2.968382012247534e-06,1.3060813100199845e-06
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000007.jpg,pliers,exito,2976870.0,320130315.0,319294170.0,42269606055.0,43365947190.0,33998548710.0,6206251695975.0,6695727142500.0,4444390644090.0,4236279061320.0,7843037685.538379,9118980746.726059,-338101267.91759205,-26257802582.075314,88193426940.15497,-16659334833.326172,-354733245826.99414,0.0008850433901955102,0.001029026502077302,-3.81528566334621e-05,-1.7173495683297312e-06,5.7681499893897095e-06,-1.0895771416989586e-06,-2.3200760409748038e-05
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000008.jpg,pliers,exito,6118980.0,703824990.0,640805565.0,104597340750.0,85344884355.0,71852601540.0,17347338611340.0,12956346368985.0,10603200560850.0,9495642675570.0,23641100241.206028,18237004915.13106,-1854939647.9217422,-122340418352.36786,198954562497.29837,76045335877.3711,67510686340.70703,0.000631407326735515,0.0004870745609823583,-4.9541792573112316e-05,-1.320907411631407e-06,2.1481090200594278e-06,8.21060195258643e-07,7.289117296862435e-07
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000009.jpg,pliers,exito,2796330.0,325213740.0,287688450.0,46570420500.0,39144419130.0,34188595365.0,7436315772180.0,6195252094770.0,4913392974465.0,5145259193925.0,8747997293.587454,9546823616.093382,730370913.9148296,-14621155468.946224,203677766012.43332,-47690088870.208984,442473221706.65234,0.001118746774107204,0.001220905513002851,9.340424744334397e-05,-1.1181772192961297e-06,1.5576596426728556e-05,-3.6471789848712204e-06,3.383887666824755e-05
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000010.jpg,pliers,exito,3211725.0,351756435.0,373031085.0,50192909955.0,48895220565.0,41242638180.0,8046139930365.0,6950116783425.0,5972794787790.0,5412649107660.0,11667634732.523226,5568911377.171896,387308223.7360094,-6856594815.675197,-22519816927.400585,58218670632.99805,-32451107440.115234,0.0011311133288878562,0.0005398754786654288,3.75474125046542e-05,-3.7090492947141445e-07,-1.2182010653555228e-06,3.1493171910472935e-06,-1.7554305074041293e-06
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000011.jpg,pliers,exito,3366255.0,392649000.0,404144910.0,57438627600.0,54703170180.0,45224863020.0,9313392257970.0,8014569565860.0,6425352165360.0,5984412485790.0,11638996496.295734,6182452563.863339,-1915681818.8758445,-101610574275.46143,-37470834856.64879,-23698153444.117188,63672982855.61328,0.0010271207771992952,0.0005455904625810395,-0.0001690555194596496,-4.8873267692703685e-06,-1.8022948454689974e-06,-1.1398480968695889e-06,3.0625815847266935e-06
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000012.jpg,pliers,exito,1724820.0,193700550.0,211624245.0,21997531650.0,32606022525.0,23734287180.0,2524837593990.0,5504767060275.0,2699962941840.0,3655135115490.0,244593331.62330142,6641098027.475607,-31516005.16410235,-463425809.7116233,-125420212238.73863,8086866523.922852,1150702734.84375,8.221613448570109e-05,0.0022322988322533766,-1.0593600822341645e-05,-1.1860985337135469e-07,-3.2100225476647343e-05,2.069763989263088e-06,2.9451247598566973e-07
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000013.jpg,pliers,exito,2694075.0,285228975.0,289550460.0,38539050915.0,39279966420.0,37975636830.0,5899043036775.0,6018929968170.0,5690105282310.0,5728579278390.0,8341091251.831517,8160020284.049219,7320149912.754375,52622352034.967255,43221200074.41379,-1955121845.1230469,-3588574778.5253906,0.0011492208820074099,0.0011242732425417684,0.001008557379984886,4.417189702677919e-06,3.628044595559316e-06,-1.6411550886246036e-07,-3.0122970460269194e-07
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000014.jpg,pliers,exito,2740485.0,276895320.0,287571150.0,36163905180.0,34441668840.0,33947458440.0,5382891687840.0,4534307724600.0,4867577117070.0,4566074896830.0,8186733899.039735,4265562671.8135314,4891614090.544341,74578486810.01233,24983337822.132626,84253764109.07227,59532772522.11133,0.00109007358477457,0.000567964862433084,0.0006513243709605503,5.998532194012488e-06,2.009471667368731e-06,6.7767386828657526e-06,4.788368172210811e-06
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000015.jpg,pliers,exito,3402720.0,380592090.0,435701670.0,52447735980.0,65204362410.0,43522801005.0,8113631157000.0,10371095750130.0,5591500452015.0,6139544418645.0,9878750294.851616,9414892444.563847,-5210156511.86601,37520899615.382614,-389066213021.811,41329576348.26953,180747697087.96875,0.000853197512229148,0.0008131355254311074,-0.0004499853161148604,1.756740882903182e-06,-1.8216208288660563e-05,1.9350643824730455e-06,8.462666732938812e-06
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000016.jpg,pliers,exito,5697975.0,749896860.0,422168565.0,118471339950.0,51066561885.0,54904707135.0,20461080405000.0,7825823562585.0,8708494684995.0,6392008867965.0,19779207984.19468,19787678198.399197,-655887863.0836847,-336837758868.1464,1110074797475.6255,103476396525.58203,-231548436628.16992,0.0006092111149472733,0.0006094720024733815,-2.020172782797425e-05,-4.3462972048501685e-06,1.4323557446929635e-05,1.3351803981190634e-06,-2.9877241978040335e-06
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000017.jpg,pliers,exito,2929695.0,319170495.0,360368805.0,45229637895.0,50859582465.0,39756748335.0,7248418822515.0,7903872961455.0,5619172951035.0,5642677353675.0,10458166844.755852,6532211999.088694,496999496.15893173,42261699372.64685,40864074882.3319,-52613944601.390625,-20398270197.166016,0.0012184585123073998,0.0007610539621938844,5.790434171654071e-05,2.876675878209605e-06,2.7815421586061234e-06,-3.581334104852339e-06,-1.3884726053247272e-06
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000018.jpg,pliers,exito,2887875.0,318823440.0,304850970.0,44344504080.0,37120588170.0,34079829195.0,6950295313260.0,4968901072800.0,4787665533525.0,4391082360885.0,9146171086.55894,4939792979.785431,424066759.73642474,35143240136.97589,7450638287.224138,12919421170.90039,203412208512.22852,0.0010966866042732342,0.000592313957124088,5.084841846048012e-05,2.479681045352422e-06,5.257115298588554e-07,9.115848074776643e-07,1.4352615065517161e-05
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000019.jpg,pliers,exito,2145315.0,178138920.0,223045185.0,21322682820.0,28740150105.0,18055746495.0,3220260391110.0,4220200799535.0,2142419061135.0,2130645239895.0,6530694315.390469,5550476536.463807,-465090010.17532223,365135920603.3617,77981018791.86826,2770352179.7285156,-159119724979.70215,0.001418983081336204,0.0012060022898384287,-0.00010105431733069973,5.416601501931125e-05,1.1568078616099433e-05,4.109673393074954e-07,-2.3604583736590803e-05
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000020.jpg,pliers,exito,3465705.0,446157180.0,458560125.0,64827127140.0,69111423705.0,65210718285.0,10179849513420.0,11234804898375.0,10063552409805.0,10401458936985.0,7391128038.647637,8437653652.437642,6178027323.003094,-68656322410.742744,-142414489954.29794,-104617708972.36719,-130468006879.92188,0.0006153575591945401,0.0007024873510164413,0.0005143593500534139,-3.070446640112975e-06,-6.369057893423607e-06,-4.678711030992532e-06,-5.834787522845981e-06
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000021.jpg,pliers,exito,3740340.0,408156570.0,406197915.0,46706435970.0,56467923435.0,44138032110.0,5577551067420.0,8838390280965.0,5028903336270.0,6105109056210.0,2167226798.062449,12355156640.979343,-187443041.3369236,7823605462.443317,22499079147.767864,-2469397345.15625,-16119494966.519531,0.00015491097904950249,0.000883132957415988,-1.3398221669960402e-05,2.8915402161181623e-07,8.315474558846042e-07,-9.126689436694549e-08,-5.957632728663842e-07
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000022.jpg,pliers,exito,2047395.0,209967510.0,196756470.0,27079965210.0,24471604380.0,25049136030.0,4000930958640.0,3506430442590.0,3658900888680.0,3502175401920.0,5547063519.998754,5563133622.348984,4871072645.899862,86044433937.98897,85443500456.83203,57401250642.4834,56298101635.82031,0.0013233047224528215,0.00132713839810007,0.0011620406747625447,1.4345598968480867e-05,1.4245409446243745e-05,9.570117255925867e-06,9.386196779867279e-06
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000023.jpg,pliers,exito,1862520.0,182019000.0,184521570.0,25508790870.0,24029721000.0,19855918740.0,4126253509560.0,3541619523570.0,2886118573770.0,2644793526090.0,7720570415.454544,5748999292.171412,1823128944.5454533,124328366062.06612,21855657290.611908,2600353912.7617188,-64803695426.5166,0.002225601976766318,0.001657258920075734,0.0005255517616623364,2.6261399337809224e-05,4.61648585981202e-06,5.492626878775164e-07,-1.3688233651457611e-05
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000024.jpg,pliers,exito,4242690.0,476668950.0,486513735.0,64508335830.0,69302363115.0,54393667500.0,9643919438580.0,11012797538385.0,7533475981320.0,7742694454320.0,10954272748.770283,13513320233.325817,-266463507.22142324,-65072753796.38517,-33350853634.619698,196111798953.02734,17640692139.214844,0.000608556561485337,0.0007507225613280597,-1.4803184057489926e-05,-1.755076030214023e-06,-8.995052519899476e-07,5.289327675628964e-06,4.757867790073577e-07
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000025.jpg,pliers,exito,4570110.0,521610150.0,521172060.0,74150129100.0,73169568930.0,58818057495.0,11709733720980.0,11381338734090.0,8462760709245.0,8230105380555.0,14616080995.463676,13735481758.215601,-665989145.5423502,-89818666879.87212,-95635258790.5623,158758806423.51172,30784148643.132812,0.0006998059555989383,0.0006576435872518179,-3.1887013390212775e-05,-2.0116386502637057e-06,-2.141910914446884e-06,3.555667904739723e-06,6.894622841464862e-07
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000026.jpg,pliers,exito,2572440.0,274105620.0,268863330.0,36636063180.0,31848771720.0,33179939550.0,5548415604840.0,4131880938300.0,4842634003410.0,4372946801940.0,7428816007.827121,3748022929.47859,4531283112.954004,61519409906.07417,19684474040.011143,47888828086.66406,32119007164.523438,0.0011226104850329676,0.0005663849844098279,0.0006847478693637567,5.7962755871773386e-06,1.8546445178642267e-06,4.512020605546422e-06,3.026209409296033e-06
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000027.jpg,pliers,exito,1870935.0,213054795.0,247689405.0,30167516685.0,37962403095.0,28055584500.0,4772167334775.0,6285615788655.0,4124085556170.0,4280451633180.0,5905665967.31498,5171289908.676572,-150320785.83140182,-8220539197.796331,-109385895580.9123,164503245926.125,-2757712472.9316406,0.0016871413902731422,0.0014773435027170627,-4.294391538535456e-05,-1.7169338213476615e-06,-2.2846231759544134e-05,3.435798794411801e-05,-5.759731448756895e-07
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000028.jpg,pliers,exito,1526175.0,171365610.0,190630860.0,20584654170.0,28078153530.0,21505706265.0,2613749226330.0,4608083543280.0,2644732411515.0,3184548131985.0,1342973307.2731833,4266909875.543858,100838796.50877248,824300610.2976313,34969743833.16503,50907371149.072266,6619073822.097656,0.0005765788537562395,0.0018319128100301163,4.32931297966295e-05,2.864671210213415e-07,1.215294725442882e-05,1.7691710851183317e-05,2.3003101028390584e-06
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000029.jpg,pliers,exito,1189320.0,135078855.0,117265830.0,15585770085.0,14924278920.0,13165981755.0,1825196267355.0,2198848830450.0,1503465468825.0,1672458518025.0,243980601.840695,3361978710.1415086,-152665915.11792424,-402577407.3488041,64353150162.56645,1401775972.459961,7515930902.77002,0.0001724875898579617,0.0023768266841342083,-0.0001079306123252569,-2.6097721553244105e-07,4.171795444451321e-05,9.087235980331948e-07,4.872321902156968e-06
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000030.jpg,pliers,exito,1101600.0,125360040.0,122163870.0,16811496180.0,13696281540.0,13906814385.0,2485673897880.0,1551799846470.0,1866131216415.0,1563205434195.0,2545755776.222221,148704258.4305543,4792208.38888768,-6847820946.747349,-55030914.41653817,700082873.1923828,3531077667.2871094,0.00209782319681162,0.00012253934399913776,3.949006427113873e-06,-5.37641244856812e-06,-4.320628352084726e-08,5.496543066373103e-07,2.772346133886688e-06
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000031.jpg,pliers,exito,2525010.0,335864325.0,319063905.0,51543669435.0,46167782385.0,44039369040.0,8599907743275.0,7304860235385.0,7067483770650.0,6695630992710.0,6868660303.2715645,5850407216.644619,1599068572.0061631,-83446245673.40163,-7499112781.517774,128951004010.91016,150500005751.91602,0.0010773227563359885,0.0009176137048619958,0.0002508077100192885,-8.236620302929377e-06,-7.402051954734585e-07,1.2728199443224796e-05,1.4855208798954319e-05
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000032.jpg,pliers,exito,3037815.0,374778090.0,317740455.0,54580211730.0,35828674785.0,41140944435.0,8685075853980.0,4312582533585.0,6215807126865.0,4898594342715.0,8343486733.893226,2594591490.392844,1941006044.8640141,-107223725850.46341,22317066587.82268,28058898144.121094,72337776446.43555,0.0009041176245727128,0.00028115534546262194,0.0002103314633958627,-6.66634197464445e-06,1.387502593901838e-06,1.7444852711170668e-06,4.497403458539076e-06
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000033.jpg,pliers,exito,2553315.0,283148175.0,278817255.0,36711095145.0,38545185195.0,30845271240.0,5252173763025.0,6063787673775.0,4260725310030.0,4243162121280.0,5311565903.276743,8098858875.789477,-73983498.15789233,3076030716.9295826,85964361611.57533,268350616188.58984,-15122928256.742188,0.000814730136865059,0.0012422672561122074,-1.1348176164537543e-05,2.9527703853272076e-07,8.251966398228576e-06,2.575974771659328e-05,-1.4516933933777291e-06
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000034.jpg,pliers,exito,1261740.0,137872125.0,151893300.0,15322979325.0,21437702610.0,16568332260.0,1730375093655.0,3308275672950.0,1847128373400.0,2335730073390.0,257496062.19179553,3152180565.1333866,-29264744.34518902,-262580838.83031696,-31424748943.150078,8882529941.667969,247821282.3935547,0.00016174499435713872,0.001980028057052078,-1.8382517653609866e-05,-1.468379635894809e-07,-1.757304973842626e-05,4.967204057870976e-06,1.3858426457506538e-07
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000035.jpg,pliers,exito,4167210.0,425906865.0,450414405.0,51118597185.0,59384264595.0,47217952710.0,6836703722415.0,8723896985385.0,5771739040230.0,6295376198490.0,7589075597.624218,10701060189.293537,1183654658.2122736,60889625615.117035,-7928749334.191057,4617674865.615234,-29823678932.847656,0.00043701677301764884,0.0006162203461587202,6.816073083540912e-05,1.7176308717800269e-06,-2.236614939480067e-07,1.302596431641431e-07,-8.412939171101894e-07
C:\Users\joker\.cache\kagglehub\datasets\salmaneunus\mechanical-tools-dataset\versions\20\Mechanical Tools Image dataset\Mechanical Tools Image dataset\pliers\000036.jpg,pliers,exito,1078650.0,125166240.0,118597185.0,15885210720.0,14544748905.0,14177553495.0,2161830874680.0,1987145426565.0,1819466929905.0,1793084001075.0,1360955738.5531912,1505030469.989361,415569792.1914891,2665693544.0012555,57000309219.46358,-23551557293.075195,13931961736.142578,0.0011697226663483398,0.0012935529087543833,0.000357176498548601,2.206016978532924e-06,4.71710824384636e-05,-1.949028813770887e-05,1.1529511411153827e-05
